ID Username Expenses Income
9622 nonome 222 2538
8886 Gin 700 2794
9116 Moon@ 2593 3866
3773 Dimitra 949 4012
3988 Shouk 1313 4137
5043 Menja 2192 4181
9200 gibanica 1616 4285
12 Mr.Bean 1800 4314
1486 Avgust 1749 4361
6569 FerrariMe 41 4567
7703 FuckImOld 2723 5034
5534 AA 409 5240
7503 Gaja 1858 5316
7254 kakadus 976 5327
8890 Bojan 2407 5347
1545 eedd 2917 5435
3380 Savvas 1290 5536
331 Kaja 3871 5837
2091 grinch 1919 6048
6770 Sanja 4649 6205
8281 jhsdHH 600 6335
2716 123456 4048 6459
5475 Marko 3448 6832
3218 Erika 2881 6834
6598 BillGates 5058 7288
596 Otto 3478 7305
2645 Andrej 2556 7442
1624 helga335 2468 7823
9274 Vedran 2629 8278
6698 Aksandra 3177 8444
2002 Manjana 4404 8788
1815 Hercules 2522 9022
9838 eddie 4823 9238
6170 Gregor384 5409 9335
4194 Maraya 3269 9441
830 Rok 5290 9447
1412 IamGroot 4990 9684
6872 Friends42 5119 9803
5213 G&T 5250 10124
5390 Dimitri 5155 10322
55 batman 5918 11077
1740 Ohjoj 5185 11423
3620 player1 5870 11472
